Sample,raw_total_sequences,sequences,reads_mapped,reads_unmapped,total_length,total_first_fragment_length,bases_mapped,bases_mapped_(cigar),reads_mapped_percent,reads_unmapped_percent,average_length,average_first_fragment_length,average_last_fragment_length,maximum_length,maximum_first_fragment_length
10039-1-25.BWA,178066,178066,175464,2602,12820752,12820752,12633408,11395805,98.53874406,1.461255939,72,72,0,72,72
10039-1-50.BWA,355120,355120,349942,5178,25568640,25568640,25195824,22728224,98.54190133,1.458098671,72,72,0,72,72
10039-1-75.BWA,532671,532671,524920,7751,38352312,38352312,37794240,34088675,98.54488042,1.455119577,72,72,0,72,72
10039-1.BWA,710890,710890,700531,10359,51184080,51184080,50438232,45495046,98.54281253,1.457187469,72,72,0,72,72
10039-2-25.BWA,160821,160821,17906,142915,11418291,11418291,1271326,1199984,11.13411806,88.86588194,71,71,0,71,71
10039-2-50.BWA,320570,320570,35666,284904,22760470,22760470,2532286,2389829,11.12580716,88.87419284,71,71,0,71,71
10039-2-75.BWA,480659,480659,53385,427274,34126789,34126789,3790335,3576511,11.10662653,88.89337347,71,71,0,71,71
10039-2.BWA,641376,641376,71229,570147,45537696,45537696,5057259,4773178,11.10565409,88.89434591,71,71,0,71,71
10040-1-25.BWA,591739,591739,585143,6596,42605208,42605208,42130296,40498730,98.88531937,1.114680628,72,72,0,72,72
10040-1-50.BWA,1181981,1181981,1168888,13093,85102632,85102632,84159936,80914693,98.89228338,1.107716622,72,72,0,72,72
10040-1-75.BWA,1771899,1771899,1752279,19620,127576728,127576728,126164088,121298430,98.89271341,1.107286589,72,72,0,72,72
10040-1.BWA,2362768,2362768,2336603,26165,170119296,170119296,168235416,161742515,98.89261239,1.107387606,72,72,0,72,72
10040-2-25.BWA,605649,605649,490634,115015,43001079,43001079,34835014,34614831,81.00962769,18.99037231,71,71,0,71,71
10040-2-50.BWA,1211325,1211325,982184,229141,86004075,86004075,69735064,69292381,81.08344169,18.91655831,71,71,0,71,71
10040-2-75.BWA,1815854,1815854,1471931,343923,128925634,128925634,104507101,103842757,81.0599861,18.9400139,71,71,0,71,71
10040-2.BWA,2423273,2423273,1964306,458967,172052383,172052383,139465726,138579926,81.0600374,18.9399626,71,71,0,71,71
10042-1-25.BWA,312669,312669,305418,7251,22512168,22512168,21990096,20468836,97.68093415,2.319065849,72,72,0,72,72
10042-1-50.BWA,623770,623770,609146,14624,44911440,44911440,43858512,40820147,97.65554611,2.344453885,72,72,0,72,72
10042-1-75.BWA,935500,935500,913767,21733,67356000,67356000,65791224,61228301,97.6768573,2.323142704,72,72,0,72,72
10042-1.BWA,1249177,1249177,1220105,29072,89940744,89940744,87847560,81759024,97.67270771,2.327292289,72,72,0,72,72
10042-2-25.BWA,607294,607294,58801,548493,43117874,43117874,4174871,4103546,9.682460225,90.31753977,71,71,0,71,71
10042-2-50.BWA,1215045,1215045,117571,1097474,86268195,86268195,8347541,8206608,9.676267134,90.32373287,71,71,0,71,71
10042-2-75.BWA,1821742,1821742,176315,1645427,129343682,129343682,12518365,12308486,9.678373776,90.32162622,71,71,0,71,71
10042-2.BWA,2430895,2430895,235328,2195567,172593545,172593545,16708288,16427699,9.680714305,90.3192857,71,71,0,71,71
10088-1-25.BWA,493587,493587,485425,8162,35538264,35538264,34950600,33773935,98.34639081,1.653609191,72,72,0,72,72
10088-1-50.BWA,986881,986881,970624,16257,71055432,71055432,69884928,67528828,98.35268893,1.647311074,72,72,0,72,72
10088-1-75.BWA,1479634,1479634,1455194,24440,106533648,106533648,104773968,101237595,98.34824017,1.651759827,72,72,0,72,72
10088-1.BWA,1973636,1973636,1940992,32644,142101792,142101792,139751424,135038889,98.34599693,1.654003068,72,72,0,72,72
10088-2-25.BWA,248543,248543,78817,169726,17646553,17646553,5596007,5447557,31.71161529,68.28838471,71,71,0,71,71
10088-2-50.BWA,495763,495763,156782,338981,35199173,35199173,11131522,10836365,31.62438504,68.37561496,71,71,0,71,71
10088-2-75.BWA,742915,742915,234964,507951,52746965,52746965,16682444,16239280,31.62730595,68.37269405,71,71,0,71,71
10088-2.BWA,991121,991121,313830,677291,70369591,70369591,22281930,21687688,31.66414595,68.33585405,71,71,0,71,71
10089-1-25.BWA,195457,195457,188160,7297,14072904,14072904,13547520,12793494,96.26669805,3.733301954,72,72,0,72,72
10089-1-50.BWA,390192,390192,375503,14689,28093824,28093824,27036216,25527941,96.23544306,3.764556936,72,72,0,72,72
10089-1-75.BWA,584819,584819,562706,22113,42106968,42106968,40514832,38260901,96.2188301,3.7811699,72,72,0,72,72
10089-1.BWA,780683,780683,751209,29474,56209176,56209176,54087048,51080722,96.22458796,3.775412043,72,72,0,72,72
10089-2-25.BWA,387583,387583,89357,298226,27518393,27518393,6344347,5970211,23.05493275,76.94506725,71,71,0,71,71
10089-2-50.BWA,774940,774940,178572,596368,55020740,55020740,12678612,11927225,23.04333239,76.95666761,71,71,0,71,71
10089-2-75.BWA,1161542,1161542,267886,893656,82469482,82469482,19019906,17888923,23.06296285,76.93703715,71,71,0,71,71
10089-2.BWA,1549980,1549980,357659,1192321,110048580,110048580,25393789,23886241,23.07507194,76.92492806,71,71,0,71,71
10091-1-25.BWA,594208,594208,584841,9367,42782976,42782976,42108552,39765421,98.42361597,1.576384027,72,72,0,72,72
10091-1-50.BWA,1186999,1186999,1168325,18674,85463928,85463928,84119400,79433462,98.4267889,1.573211098,72,72,0,72,72
10091-1-75.BWA,1778420,1778420,1750311,28109,128046240,128046240,126022392,118994813,98.41943973,1.580560273,72,72,0,72,72
10091-1.BWA,2371386,2371386,2333893,37493,170739792,170739792,168040296,158673656,98.4189415,1.581058503,72,72,0,72,72
10091-2-25.BWA,328525,328525,68745,259780,23325275,23325275,4880895,4609573,20.92534815,79.07465185,71,71,0,71,71
10091-2-50.BWA,656432,656432,137144,519288,46606672,46606672,9737224,9194073,20.89233919,79.10766081,71,71,0,71,71
10091-2-75.BWA,983974,983974,205789,778185,69862154,69862154,14611019,13793763,20.91406887,79.08593113,71,71,0,71,71
10091-2.BWA,1313357,1313357,274787,1038570,93248347,93248347,19509877,18419802,20.92249099,79.07750901,71,71,0,71,71
10094-1-25.BWA,419620,419620,404671,14949,30212640,30212640,29136312,27565745,96.43749106,3.562508937,72,72,0,72,72
10094-1-50.BWA,838970,838970,809168,29802,60405840,60405840,58260096,55119583,96.44778717,3.552212832,72,72,0,72,72
10094-1-75.BWA,1256666,1256666,1211985,44681,90479952,90479952,87262920,82573061,96.44448087,3.555519128,72,72,0,72,72
10094-1.BWA,1677818,1677818,1617818,60000,120802896,120802896,116482896,110226082,96.42392679,3.576073209,72,72,0,72,72
10094-2-25.BWA,427088,427088,48834,378254,30323248,30323248,3467214,3283275,11.4341775,88.5658225,71,71,0,71,71
10094-2-50.BWA,852466,852466,97024,755442,60525086,60525086,6888704,6525252,11.3815683,88.6184317,71,71,0,71,71
10094-2-75.BWA,1277569,1277569,145023,1132546,90707399,90707399,10296633,9753100,11.35148082,88.64851918,71,71,0,71,71
10094-2.BWA,1704793,1704793,193266,1511527,121040303,121040303,13721886,12996756,11.33662562,88.66337438,71,71,0,71,71
10102-1-25.BWA,831809,831809,799289,32520,59890248,59890248,57548808,55429914,96.09044865,3.909551351,72,72,0,72,72
10102-1-50.BWA,1663303,1663303,1598347,64956,119757816,119757816,115080984,110833704,96.09475844,3.905241559,72,72,0,72,72
10102-1-75.BWA,2493388,2493388,2395694,97694,179523936,179523936,172489968,166118010,96.08187735,3.918122651,72,72,0,72,72
10102-1.BWA,3326571,3326571,3195969,130602,239513112,239513112,230109768,221603288,96.07397527,3.926024726,72,72,0,72,72
10102-2-25.BWA,760852,760852,491809,269043,54020492,54020492,34918439,34658385,64.63924653,35.36075347,71,71,0,71,71
10102-2-50.BWA,1521638,1521638,984247,537391,108036298,108036298,69881537,69360199,64.68338724,35.31661276,71,71,0,71,71
10102-2-75.BWA,2281631,2281631,1474923,806708,161995801,161995801,104719533,103934408,64.64336258,35.35663742,71,71,0,71,71
10102-2.BWA,3043909,3043909,1967408,1076501,216117539,216117539,139685968,138638933,64.63425812,35.36574188,71,71,0,71,71
10106-1-25.BWA,631013,631013,446817,184196,45432936,45432936,32170824,30630072,70.80947619,29.19052381,72,72,0,72,72
10106-1-50.BWA,1261789,1261789,893655,368134,90848808,90848808,64343160,61254378,70.82444054,29.17555946,72,72,0,72,72
10106-1-75.BWA,1892875,1892875,1339383,553492,136287000,136287000,96435576,91815765,70.75918906,29.24081094,72,72,0,72,72
10106-1.BWA,2525556,2525556,1787499,738057,181840032,181840032,128699928,122539663,70.77645477,29.22354523,72,72,0,72,72
10106-2-25.BWA,1207986,1207986,466570,741416,85767006,85767006,33126470,32675647,38.623792,61.376208,71,71,0,71,71
10106-2-50.BWA,2415408,2415408,931477,1483931,171493968,171493968,66134867,65229498,38.56396104,61.43603896,71,71,0,71,71
10106-2-75.BWA,3622357,3622357,1396245,2226112,257187347,257187347,99133395,97771664,38.54520689,61.45479311,71,71,0,71,71
10106-2.BWA,4831157,4831157,1861491,2969666,343012147,343012147,132165861,130351109,38.53095646,61.46904354,71,71,0,71,71
10107-1-25.BWA,318623,318623,305319,13304,22940856,22940856,21982968,18974603,95.82453244,4.175467559,72,72,0,72,72
10107-1-50.BWA,637046,637046,610435,26611,45867312,45867312,43951320,37933523,95.82275063,4.177249367,72,72,0,72,72
10107-1-75.BWA,954215,954215,914382,39833,68703480,68703480,65835504,56812670,95.8255739,4.174426099,72,72,0,72,72
10107-1.BWA,1273944,1273944,1220904,53040,91723968,91723968,87905088,75853800,95.83655169,4.163448315,72,72,0,72,72
10107-2-25.BWA,466853,466853,125917,340936,33146563,33146563,8940107,8764123,26.97144497,73.02855503,71,71,0,71,71
10107-2-50.BWA,932580,932580,251495,681085,66213180,66213180,17856145,17503368,26.96765961,73.03234039,71,71,0,71,71
10107-2-75.BWA,1398041,1398041,376607,1021434,99260911,99260911,26739097,26211188,26.93819423,73.06180577,71,71,0,71,71
10107-2.BWA,1865424,1865424,502378,1363046,132445104,132445104,35668838,34966161,26.93103552,73.06896448,71,71,0,71,71
10110-1-25.BWA,135195,135195,9910,125285,9734040,9734040,713520,632864,7.330152742,92.66984726,72,72,0,72,72
10110-1-50.BWA,269424,269424,20159,249265,19398528,19398528,1451448,1289948,7.482258448,92.51774155,72,72,0,72,72
10110-1-75.BWA,403925,403925,30239,373686,29082600,29082600,2177208,1935117,7.486290772,92.51370923,72,72,0,72,72
10110-1.BWA,538443,538443,40370,498073,38767896,38767896,2906640,2583704,7.497543844,92.50245616,72,72,0,72,72
10110-2-25.BWA,1023928,1023928,296713,727215,72698888,72698888,21066623,20860709,28.97791642,71.02208358,71,71,0,71,71
10110-2-50.BWA,2047158,2047158,593621,1453537,145348218,145348218,42147091,41733507,28.99732214,71.00267786,71,71,0,71,71
10110-2-75.BWA,3069297,3069297,890232,2179065,217920087,217920087,63206472,62587805,29.00442675,70.99557325,71,71,0,71,71
10110-2.BWA,4094149,4094149,1188031,2906118,290684579,290684579,84350201,83522731,29.01777634,70.98222366,71,71,0,71,71
10114-1-25.BWA,547619,547619,462530,85089,39428568,39428568,33302160,31142807,84.46200734,15.53799266,72,72,0,72,72
10114-1-50.BWA,1096012,1096012,925277,170735,78912864,78912864,66619944,62295195,84.42215961,15.57784039,72,72,0,72,72
10114-1-75.BWA,1641796,1641796,1386458,255338,118209312,118209312,99824976,93340626,84.44764149,15.55235851,72,72,0,72,72
10114-1.BWA,2190325,2190325,1850094,340231,157703400,157703400,133206768,124551326,84.46664308,15.53335692,72,72,0,72,72
10114-2-25.BWA,231624,231624,51274,180350,16445304,16445304,3640454,3391079,22.13673885,77.86326115,71,71,0,71,71
10114-2-50.BWA,462587,462587,102667,359920,32843677,32843677,7289357,6788556,22.19409538,77.80590462,71,71,0,71,71
10114-2-75.BWA,692772,692772,153952,538820,49186812,49186812,10930592,10174930,22.22260715,77.77739285,71,71,0,71,71
10114-2.BWA,923585,923585,205338,718247,65574535,65574535,14578998,13573053,22.23271274,77.76728726,71,71,0,71,71
10117-1-25.BWA,832858,832858,156930,675928,59965776,59965776,11298960,10657571,18.84234768,81.15765232,72,72,0,72,72
10117-1-50.BWA,1664539,1664539,313353,1351186,119846808,119846808,22561416,21285787,18.82521227,81.17478773,72,72,0,72,72
10117-1-75.BWA,2493763,2493763,469737,2024026,179550936,179550936,33821064,31905518,18.83647323,81.16352677,72,72,0,72,72
10117-1.BWA,3326990,3326990,626083,2700907,239543280,239543280,45077976,42520509,18.81830123,81.18169877,72,72,0,72,72
10117-2-25.BWA,233869,233869,91266,142603,16604699,16604699,6479886,6227539,39.0244111,60.9755889,71,71,0,71,71
10117-2-50.BWA,466929,466929,182419,284510,33151959,33151959,12951749,12446099,39.06782402,60.93217598,71,71,0,71,71
10117-2-75.BWA,699518,699518,272765,426753,49665778,49665778,19366315,18611272,38.99327823,61.00672177,71,71,0,71,71
10117-2.BWA,933550,933550,363982,569568,66282050,66282050,25842722,24834131,38.98902041,61.01097959,71,71,0,71,71
10118-1-25.BWA,249268,249268,243057,6211,17947296,17947296,17500104,16938555,97.50830432,2.491695685,72,72,0,72,72
10118-1-50.BWA,497280,497280,484898,12382,35804160,35804160,34912656,33787996,97.5100547,2.489945302,72,72,0,72,72
10118-1-75.BWA,745080,745080,726583,18497,53645760,53645760,52313976,50628409,97.51744779,2.482552209,72,72,0,72,72
10118-1.BWA,993792,993792,969007,24785,71553024,71553024,69768504,67513422,97.50601736,2.493982644,72,72,0,72,72
10118-2-25.BWA,312847,312847,167772,145075,22212137,22212137,11911812,11763287,53.62749203,46.37250797,71,71,0,71,71
10118-2-50.BWA,623727,623727,335146,288581,44284617,44284617,23795366,23498126,53.73280297,46.26719703,71,71,0,71,71
10118-2-75.BWA,934779,934779,502578,432201,66369309,66369309,35683038,35236721,53.76436569,46.23563431,71,71,0,71,71
10118-2.BWA,1247172,1247172,670071,577101,88549212,88549212,47575041,46979008,53.72723249,46.27276751,71,71,0,71,71
10127-1-25.BWA,223606,223606,212397,11209,16099632,16099632,15292584,14703106,94.98716492,5.012835076,72,72,0,72,72
10127-1-50.BWA,445876,445876,423503,22373,32103072,32103072,30492216,29316319,94.98223721,5.017762786,72,72,0,72,72
10127-1-75.BWA,668397,668397,634831,33566,48124584,48124584,45707832,43946131,94.97813425,5.021865747,72,72,0,72,72
10127-1.BWA,891983,891983,847210,44773,64222776,64222776,60999120,58646173,94.98050972,5.019490282,72,72,0,72,72
10127-2-25.BWA,713567,713567,424693,288874,50663257,50663257,30153203,29891063,59.51690591,40.48309409,71,71,0,71,71
10127-2-50.BWA,1427156,1427156,849526,577630,101328076,101328076,60316346,59796191,59.52579816,40.47420184,71,71,0,71,71
10127-2-75.BWA,2139920,2139920,1272421,867499,151934320,151934320,90341891,89558996,59.46114808,40.53885192,71,71,0,71,71
10127-2.BWA,2854810,2854810,1697711,1157099,202691510,202691510,120537481,119497799,59.46844098,40.53155902,71,71,0,71,71
10128-1-25.BWA,511780,511780,179071,332709,36848160,36848160,12893112,11994002,34.98983938,65.01016062,72,72,0,72,72
10128-1-50.BWA,1022600,1022600,357550,665050,73627200,73627200,25743600,23956495,34.96479562,65.03520438,72,72,0,72,72
10128-1-75.BWA,1532475,1532475,535784,996691,110338200,110338200,38576448,35887705,34.96200591,65.03799409,72,72,0,72,72
10128-1.BWA,2045047,2045047,715466,1329581,147243384,147243384,51513552,47922912,34.98530841,65.01469159,72,72,0,72,72
10128-2-25.BWA,554004,554004,274613,279391,39334284,39334284,19497523,19377395,49.56877568,50.43122432,71,71,0,71,71
10128-2-50.BWA,1107262,1107262,549509,557753,78615602,78615602,39015139,38772822,49.62773038,50.37226962,71,71,0,71,71
10128-2-75.BWA,1659267,1659267,823269,835998,117807957,117807957,58452099,58088747,49.61642701,50.38357299,71,71,0,71,71
10128-2.BWA,2214149,2214149,1098526,1115623,157204579,157204579,77995346,77510598,49.61391487,50.38608513,71,71,0,71,71
10129-1-25.BWA,1107807,1107807,1031722,76085,79762104,79762104,74283984,72588449,93.13192641,6.86807359,72,72,0,72,72
10129-1-50.BWA,2214827,2214827,2062696,152131,159467544,159467544,148514112,145121667,93.13124682,6.86875318,72,72,0,72,72
10129-1-75.BWA,3322197,3322197,3092965,229232,239198184,239198184,222693480,217612595,93.09998775,6.900012251,72,72,0,72,72
10129-1.BWA,4430804,4430804,4125019,305785,319017888,319017888,297001368,290229693,93.09865659,6.901343413,72,72,0,72,72
10129-2-25.BWA,238725,238725,223316,15409,16949475,16949475,15855436,15771973,93.5452927,6.454707299,71,71,0,71,71
10129-2-50.BWA,476773,476773,445874,30899,33850883,33850883,31657054,31489816,93.51913804,6.480861962,71,71,0,71,71
10129-2-75.BWA,714889,714889,668533,46356,50757119,50757119,47465843,47214983,93.51563669,6.484363307,71,71,0,71,71
10129-2.BWA,953366,953366,891637,61729,67688986,67688986,63306227,62971148,93.52515194,6.474848065,71,71,0,71,71
10130-1-25.BWA,216208,216208,214114,2094,15566976,15566976,15416208,14633530,99.0314882,0.968511803,72,72,0,72,72
10130-1-50.BWA,432006,432006,427823,4183,31104432,31104432,30803256,29246869,99.03172641,0.968273589,72,72,0,72,72
10130-1-75.BWA,648212,648212,642051,6161,46671264,46671264,46227672,43887790,99.04953935,0.950460652,72,72,0,72,72
10130-1.BWA,864501,864501,856301,8200,62244072,62244072,61653672,58534026,99.05147594,0.948524062,72,72,0,72,72
10130-2-25.BWA,357530,357530,169357,188173,25384630,25384630,12024347,11920692,47.36861242,52.63138758,71,71,0,71,71
10130-2-50.BWA,713476,713476,338693,374783,50656796,50656796,24047203,23838687,47.47083294,52.52916706,71,71,0,71,71
10130-2-75.BWA,1068580,1068580,507715,560865,75869180,75869180,36047765,35733304,47.51305471,52.48694529,71,71,0,71,71
10130-2.BWA,1426338,1426338,677616,748722,101269998,101269998,48110736,47689857,47.50739306,52.49260694,71,71,0,71,71
10131-1-25.BWA,1177701,1177701,1161866,15835,84794472,84794472,83654352,80440707,98.65543122,1.344568783,72,72,0,72,72
10131-1-50.BWA,2356837,2356837,2325335,31502,169692264,169692264,167424120,161003441,98.66337808,1.336621922,72,72,0,72,72
10131-1-75.BWA,3535279,3535279,3487935,47344,254540088,254540088,251131320,241489577,98.66081291,1.339187091,72,72,0,72,72
10131-1.BWA,4714894,4714894,4651844,63050,339472368,339472368,334932768,322086222,98.6627483,1.337251696,72,72,0,72,72
10131-2-25.BWA,783161,783161,310116,473045,55604431,55604431,22018236,21521501,39.59798815,60.40201185,71,71,0,71,71
10131-2-50.BWA,1565825,1565825,619937,945888,111173575,111173575,44015527,43022894,39.59171683,60.40828317,71,71,0,71,71
10131-2-75.BWA,2346517,2346517,928632,1417885,166602707,166602707,65932872,64448174,39.57491039,60.42508961,71,71,0,71,71
10131-2.BWA,3130066,3130066,1239539,1890527,222234686,222234686,88007269,86024134,39.60104995,60.39895005,71,71,0,71,71
10136-1-25.BWA,1298909,1298909,1280547,18362,93521448,93521448,92199384,88805145,98.58635208,1.413647915,72,72,0,72,72
10136-1-50.BWA,2596438,2596438,2559878,36560,186943536,186943536,184311216,177532024,98.59191708,1.40808292,72,72,0,72,72
10136-1-75.BWA,3894990,3894990,3840230,54760,280439280,280439280,276496560,266335505,98.59409138,1.405908616,72,72,0,72,72
10136-1.BWA,5194796,5194796,5121943,72853,374025312,374025312,368779896,355232870,98.59757727,1.402422732,72,72,0,72,72
10136-2-25.BWA,465498,465498,255395,210103,33050358,33050358,18133045,17508096,54.86489738,45.13510262,71,71,0,71,71
10136-2-50.BWA,930926,930926,510960,419966,66095746,66095746,36278160,35025944,54.88728427,45.11271573,71,71,0,71,71
10136-2-75.BWA,1395411,1395411,766154,629257,99074181,99074181,54396934,52519618,54.9052573,45.0947427,71,71,0,71,71
10136-2.BWA,1861515,1861515,1021770,839745,132167565,132167565,72545670,70041858,54.88916286,45.11083714,71,71,0,71,71
10138-1-25.BWA,402385,402385,373815,28570,28971720,28971720,26914680,25711391,92.89983474,7.100165265,72,72,0,72,72
10138-1-50.BWA,805133,805133,747651,57482,57969576,57969576,53830872,51439452,92.86055844,7.139441558,72,72,0,72,72
10138-1-75.BWA,1207294,1207294,1121213,86081,86925168,86925168,80727336,77131705,92.86992232,7.130077678,72,72,0,72,72
10138-1.BWA,1611095,1611095,1496245,114850,115998840,115998840,107729640,102931558,92.87130802,7.128691977,72,72,0,72,72
10138-2-25.BWA,386195,386195,80874,305321,27419845,27419845,5742054,5404133,20.94123435,79.05876565,71,71,0,71,71
10138-2-50.BWA,771810,771810,161615,610195,54798510,54798510,11474665,10799142,20.93973905,79.06026095,71,71,0,71,71
10138-2-75.BWA,1156606,1156606,242115,914491,82119026,82119026,17190165,16179284,20.9332305,79.0667695,71,71,0,71,71
10138-2.BWA,1542204,1542204,322157,1220047,109496484,109496484,22873147,21527693,20.88938947,79.11061053,71,71,0,71,71
